"eta","SNR","dataSpars","truZeroPerc","falseZeroperc","mechaZeroperc","integerizZeroPerc","rep","id","x1","rawCount1","rawCount2","rawCount3","rawCount4","rawCount5","rawCount6","rawCount7","rawCount8","rawCount9","rawCount10","rawCount11","rawCount12","rawCount13","rawCount14","rawCount15","rawCount16","rawCount17","rawCount18","rawCount19","rawCount20","rawCount21","rawCount22","rawCount23","rawCount24","rawCount25","rawCount26","rawCount27","rawCount28","rawCount29","rawCount30","rawCount31","rawCount32","rawCount33","rawCount34","rawCount35","rawCount36","rawCount37","rawCount38","rawCount39","rawCount40","rawCount41","rawCount42","rawCount43","rawCount44","rawCount45","rawCount46","rawCount47","rawCount48","rawCount49","rawCount50","rawCount51","rawCount52","rawCount53","rawCount54","rawCount55","rawCount56","rawCount57","rawCount58","rawCount59","rawCount60","rawCount61","rawCount62","rawCount63","rawCount64","rawCount65","rawCount66","rawCount67","rawCount68","rawCount69","rawCount70","rawCount71","rawCount72","rawCount73","rawCount74","rawCount75","rawCount76","rawCount77","rawCount78","rawCount79","rawCount80","rawCount81","rawCount82","rawCount83","rawCount84","rawCount85","rawCount86","rawCount87","rawCount88","rawCount89","rawCount90","rawCount91","rawCount92","rawCount93","rawCount94","rawCount95","rawCount96","rawCount97","rawCount98","rawCount99","rawCount100","rawCount101","rawCount102","rawCount103","rawCount104","rawCount105","rawCount106","rawCount107","rawCount108","rawCount109","rawCount110","rawCount111","rawCount112","rawCount113","rawCount114","rawCount115","rawCount116","rawCount117","rawCount118","rawCount119","rawCount120","rawCount121","rawCount122","rawCount123","rawCount124","rawCount125","rawCount126","rawCount127","rawCount128","rawCount129","rawCount130","rawCount131","rawCount132","rawCount133","rawCount134","rawCount135","rawCount136","rawCount137","rawCount138","rawCount139","rawCount140","rawCount141","rawCount142","rawCount143","rawCount144","rawCount145","rawCount146","rawCount147","rawCount148","rawCount149","rawCount150","rawCount151","rawCount152","rawCount153","rawCount154","rawCount155","rawCount156","rawCount157","rawCount158","rawCount159","rawCount160","rawCount161","rawCount162","rawCount163","rawCount164","rawCount165","rawCount166","rawCount167","rawCount168","rawCount169","rawCount170","rawCount171","rawCount172","rawCount173","rawCount174","rawCount175","rawCount176","rawCount177","rawCount178","rawCount179","rawCount180","rawCount181","rawCount182","rawCount183","rawCount184","rawCount185","rawCount186","rawCount187","rawCount188","rawCount189","rawCount190","rawCount191","rawCount192","rawCount193","rawCount194","rawCount195","rawCount196","rawCount197","rawCount198","rawCount199","rawCount200","rawCount201","rawCount202","rawCount203","rawCount204","rawCount205","rawCount206","rawCount207","rawCount208","rawCount209","rawCount210","rawCount211","rawCount212","rawCount213","rawCount214","rawCount215","rawCount216","rawCount217","rawCount218"
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,1,0,0,0,2,15,40,49,0,3,0,0,21,33,44,1,0,0,21,0,0,0,4,6,27,1,9,0,9,35,0,171,0,4,0,3,0,0,39,0,0,0,11,0,11,40,0,9,0,6,0,0,7,27,0,77,0,0,0,0,0,0,5,0,0,0,4,1,51,7,0,0,4,5,0,0,5,6,0,10,54,6,0,0,0,2,0,0,16,0,0,0,40,45,0,0,0,35,8,50,15,0,33,0,0,0,7,0,0,0,47,0,0,0,0,38,0,54,0,0,0,51,45,12,7,0,2,0,17,8,5,0,0,0,0,11,0,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,11,0,9,4,3,0,0,0,1,488,0,0,2,0,0,0,0,2,1,0,0,0,0,0,39,0,0,0,122,0,0,5,0,0,0,0,54,10,3,0,0,0,0,0,0,0,1,8,10,0,9,33,4,9,0,0,0,0,0,0,0,6,0,240,0,0,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,2,1,0,71,13,5,83,521,0,0,3,0,158,209,15,0,4,0,0,0,0,0,0,114,0,39,0,36,40,553,0,0,0,0,9,0,0,17,4,0,35,0,0,0,0,41,25,21,0,44,0,22,0,0,0,0,64,0,113,0,0,78,69,51,0,67,3,0,604,130,0,0,0,52,0,0,0,0,0,94,7,0,124,17,0,0,151,0,0,7,0,40,8,0,60,0,0,375,0,0,0,0,7,7,0,0,0,0,0,0,8,5,3,176,0,5,0,0,97,7,172,0,408,7,105,0,0,0,1,1,0,10,0,0,0,0,0,467,0,0,0,1,4,0,0,0,0,0,0,0,0,45,0,0,0,0,29,7,0,13,0,0,0,0,0,1,1,0,0,0,0,0,20,0,0,7,0,0,0,2,9,2,0,0,0,0,30,0,0,710,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,21,0,0,0,0,33,0,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,3,1,0,33,26,2,79,0,0,0,0,0,196,333,0,0,0,0,0,0,4,19,4,61,0,0,0,24,7,216,2,31,0,0,13,24,0,0,0,0,4,0,23,0,0,0,0,1,0,0,0,0,0,11,2,0,59,0,110,0,4,40,46,43,3,39,0,0,577,61,0,0,125,35,0,1,0,0,0,0,1,0,114,0,0,1,98,1,0,0,0,0,6,0,86,0,0,274,0,0,79,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,123,0,144,4,270,0,32,2,3,0,0,0,0,0,0,0,0,0,1,264,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,2,0,0,0,0,17,21,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,0,0,0,16,1,0,12,0,0,0,0,27,0,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,4,0,0,2,0,6,5,0,0,84,25,0,0,11,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,21,0,0,10,18,0,0,1,0,39,0,0,0,37,0,0,0,1,10,0,0,0,0,0,6,0,32,0,0,4,1,15,3,0,4,0,2,10,6,25,0,0,0,0,0,3,11,11,4,0,3,9,4,0,0,0,14,0,5,3,15,0,0,0,0,9,0,0,0,0,34,0,0,15,26,11,0,0,0,11,0,0,4,13,1,6,1,0,0,0,0,4,9,0,0,3,21,14,2,14,76,0,22,0,0,0,9,0,24,0,1,3,0,0,0,0,0,0,0,9,0,0,2,0,0,172,4,0,0,212,0,0,2,13,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,180,13,0,0,0,16,1,0,15,3,50,871,17,6,1,0,0,0,0,1,0,0,0,6,0,3,4
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,5,0,0,4,0,0,9,0,0,0,28,0,0,25,91,0,0,1,0,0,17,0,0,7,8,0,0,0,0,0,9,2,22,14,504,0,0,3,0,15,0,0,0,3,24,0,5,6,0,9,0,2,0,24,77,260,6,0,9,0,6,6,7,5,4,0,9,15,42,5,0,0,0,0,0,0,0,22,39,0,114,3,14,0,0,18,10,4,9,0,0,2,57,0,0,10,0,27,0,0,8,17,8,0,0,0,0,0,3,0,468,15,0,10,0,0,0,334,0,0,0,47,30,22,0,19,0,10,7,0,11,8,0,4,0,0,7,39,0,0,11,0,0,7,0,0,5,0,0,0,0,4,2,8,0,11,10,9,0,0,0,4,0,0,0,0,0,73,0,0,34,11,3,1,28,38,0,37,0,127,7,0,0,4,0,0,0,0,0,0,21,0,0,0,1,11,0,4,32,3,8,11,0,0,11,92,12,0,6,0,9,5,1,0,0,23,14,3,2,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,6,1,0,51,23,0,98,224,0,0,1,0,98,264,0,0,0,0,26,0,0,15,0,50,0,12,0,16,0,0,0,0,0,0,4,47,0,22,2,0,0,0,24,0,0,43,0,0,0,0,0,0,0,2,0,0,0,0,71,0,0,0,44,44,0,28,0,0,347,0,0,0,49,0,4,0,0,0,3,0,0,0,0,21,0,0,137,0,0,0,0,0,0,6,107,1,19,543,0,0,150,67,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,71,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,37,1,0,20,0,0,0,0,26,0,0,0,0,0,0,0,28,0,0,7,3,207,0,0,8,0,0,21,14,0,21,0,0,0,106,23,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,13,0,2,0,0,0,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,7,1,0,94,43,0,0,949,0,29,6,5,0,387,0,0,0,0,20,0,0,0,0,175,67,0,0,31,6,558,6,0,0,0,5,0,0,80,0,0,0,0,19,0,3,2,37,1,0,80,0,39,0,28,4,0,46,3,163,0,6,73,166,0,0,68,0,0,391,115,0,0,103,76,27,0,0,0,2,0,17,0,139,44,0,22,265,0,0,0,0,0,0,14,161,0,0,477,0,17,165,181,0,33,0,0,0,0,0,0,67,0,4,25,16,189,0,0,0,0,0,14,407,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,4,23,0,7,0,0,0,50,0,0,0,0,0,0,43,34,0,1,0,0,71,0,0,7,1,1,0,0,0,72,0,0,0,720,18,0,0,0,0,27,0,29,25,0,3,991,181,0,0,0,0,0,0,25,0,0,0,0,0,0,33,3,0,0,0,0,0,0,27,0,0,7,5,44,0,3
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,8,0,0,0,2,0,0,0,0,31,26,0,0,34,0,4,0,0,132,0,0,0,5,10,11,0,0,0,0,0,21,50,116,9,83,3,4,3,0,0,0,0,144,0,14,14,0,0,0,6,13,0,0,39,53,88,0,0,14,0,3,10,6,0,0,6,0,0,0,0,4,6,0,0,1967,1091,0,0,0,10,55,75,10,3,0,33,21,0,16,11,0,0,0,39,5,0,0,0,0,56,14,0,3,16,0,2,0,0,10,0,100,0,0,0,16,0,0,14,7,63,0,49,0,0,0,0,6,14,0,0,0,0,0,0,3,0,5,60,0,0,0,0,0,2,0,0,0,4,0,3,1,0,0,0,0,0,0,0,245,0,0,0,0,0,7,0,0,0,0,0,0,3,0,10,6,18,33,48,0,0,111,0,0,0,0,37,0,1,1,37,0,0,0,582,0,0,0,0,46,0,0,0,0,11,29,0,0,0,0,0,4,0,0,0,0,0,93,0,0,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,9,1,0,53,0,3,160,900,0,0,0,0,0,684,0,0,0,0,40,7,0,69,0,213,0,15,0,31,131,809,4,0,0,0,32,103,0,95,19,3,0,0,0,0,0,12,54,2,0,0,0,60,0,0,1,4,72,0,209,0,0,206,114,158,0,90,0,0,1083,175,0,0,170,0,85,8,0,0,0,0,14,0,141,0,0,0,185,0,0,4,0,0,0,12,336,0,0,0,0,24,265,195,0,6,0,0,0,0,0,27,0,0,0,0,340,2,0,59,135,0,347,32,533,0,182,0,7,0,5,0,0,6,0,0,0,0,0,598,2,0,26,0,4,0,0,0,1,0,0,0,0,87,0,4,0,0,71,0,28,39,3,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,645,3,0,0,0,25,29,0,43,0,0,0,0,285,0,0,71,0,0,0,60,0,0,0,0,1,3,10,21,0,0,0,0,0,0,50,0,10,9,0,26,0,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,10,1,0,53,0,0,113,548,0,0,3,18,184,318,0,0,0,0,0,0,0,28,0,82,0,14,0,0,0,310,3,0,1,0,0,0,0,64,26,0,11,0,12,0,0,0,27,0,0,48,0,0,0,0,0,15,0,5,141,0,3,0,0,0,0,45,0,0,0,58,0,0,86,43,0,0,19,0,1,94,31,0,125,19,0,16,176,0,0,0,0,0,9,7,133,0,4,342,0,5,177,124,3,0,0,0,0,0,0,0,0,0,0,6,27,0,0,0,71,0,122,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,379,0,0,0,0,0,0,0,0,2,6,0,0,0,43,0,1,0,0,0,0,0,28,0,0,0,3,32,0,33,0,0,0,0,0,0,0,0,12,0,380,0,0,0,0,0,25,28,5,0,0,0,467,78,0,0,0,0,0,10,22,0,0,0,0,0,0,36,0,0,0,0,46,0,0,0,0,0,0,13,43,0,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,11,0,0,4,1,13,0,25,2,0,0,0,8,0,21,0,0,0,0,39,77,0,0,0,0,0,0,0,0,48,12,296,296,0,3,1,0,0,0,0,0,231,0,0,0,0,0,0,0,5,0,0,0,49,0,0,2,0,7,0,0,0,3,5,0,4,0,0,41,6,0,0,0,0,0,15,29,0,0,8,0,21,0,0,0,66,11,213,1,81,0,13,16,31,0,0,0,16,0,16,0,8,7,10,0,17,0,0,0,0,3,0,0,0,11,6,0,0,0,6,13,0,17,12,0,24,0,6,0,0,0,0,0,0,0,1,5,0,0,0,138,0,12,0,0,19,0,0,3,0,0,0,3,9,3,0,2,0,0,0,49,0,0,24,0,28,22779,25,3,0,395,0,0,0,0,33,0,0,0,7,5,0,2,2,0,59,0,0,0,47,13,0,0,62,11,5,29,0,0,0,0,0,8,0,0,45,0,0,0,11,0,4,0,0,6,13,586,0,0,4
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,12,0,9,0,0,11,11,48,5,14,12,0,14,0,0,0,0,3,0,0,0,2,0,8,185,2,15,0,7,50,0,0,93,29,10,3,0,0,66,45,8,0,0,0,7,0,0,0,0,8,2,0,0,28,0,0,4,85,0,0,0,6,7,10,0,0,0,0,73,0,2,4,8,0,8,84,6,0,0,0,31,0,6,0,4,154,0,0,0,2,0,0,44,49,6,0,0,66,0,30,7,17,0,0,0,2,0,17,2,0,0,0,32,0,10,0,0,0,13,0,15,39,21,0,5,0,11,9,18,0,0,2,3,0,0,0,1,56,4,0,51,0,0,0,0,16,0,0,0,24,0,0,5,8,0,12,3,0,0,0,0,10,0,0,8,0,74,7,4,0,14,14,0,0,0,19,0,73,0,0,0,3,0,0,4,54,0,0,8,55,0,2,58,152,0,0,0,0,15,0,0,0,25,0,16,247,0,0,0,0,4,2,0,0,0,15,173,3,0,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,13,0,0,6,0,0,19,48,2,10,0,6,0,0,3,0,0,2,2775,0,0,0,3,10,91,0,0,0,117,51,45,0,0,16,157,4,2,4,31,72,12,0,0,0,0,454,7,0,20,9,0,0,12,27,0,11,0,0,0,1,3,10,9,5,93,9,6,71,44,16,0,0,9,7,44,83,0,11,0,0,22,0,0,0,0,0,13,2,0,0,0,2,0,34,6,0,0,81,6,0,13,11,0,76,0,0,3,0,0,0,42,110,87,144,14,30,5,111,0,37,20,43,45,193,0,20,10,0,12,0,0,0,3,0,0,0,0,0,11147,186,2,0,0,0,8,0,4,0,0,2,2,0,5,0,1,7,5,0,0,0,0,1,0,11,5,0,139,0,9,6,4,0,5,16,0,70,13,0,0,27,2,0,61,0,0,45,0,0,0,76,14,0,0,53,0,10,13,0,0,0,0,0,6,3,235,29,0,0,0,0,3,5,0,17,0,0,367,3,2,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,14,1,0,0,20,2,97,0,0,8,0,0,185,239,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,388,0,0,0,0,0,30,0,0,0,0,14,0,4,0,0,0,24,0,0,0,0,18,0,3,0,11,19,5,65,0,0,0,41,41,0,57,0,0,438,96,0,0,44,30,0,5,0,0,0,81,8,0,81,0,0,0,85,0,0,0,0,0,0,0,32,0,0,207,0,2,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,89,0,180,2,66,0,0,0,1,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,3,0,0,31,0,0,0,0,20,0,0,0,0,0,0,0,35,0,339,0,0,0,0,0,19,0,0,0,0,0,2,0,0,8,0,22,27,0,21,0,0,0,95,17,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,0,25,0,0,21,0,0,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,15,1,0,61,47,0,0,725,0,0,8,0,327,346,25,0,0,0,18,0,0,0,0,146,0,23,0,36,0,465,3,0,0,0,13,0,0,0,0,5,9,0,0,0,0,49,43,0,0,77,0,0,48,0,1,22,48,0,167,0,0,95,0,68,0,0,0,0,958,59,0,0,115,75,1729,0,0,1,0,114,3,2,0,0,0,2,214,0,0,0,5,3,0,6,138,0,0,448,0,0,96,151,3,5,4,0,0,0,0,0,16,9,0,0,4,0,0,10,121,11,173,16,0,4,102,4,1,0,0,0,0,0,0,0,0,0,0,347,0,0,52,0,0,0,0,23,3,2,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,55,0,109,17,5,0,0,13,40,0,0,0,0,418,0,0,38,2,0,43,31,3,26,0,0,0,0,25,0,0,0,0,0,68,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,16,0,16,3,0,25,18,54,0,216,68,41,0,34,0,0,11,3,0,0,0,0,0,0,21,0,58,1,46,39,30,0,5,32,37,0,3,5,269,0,0,0,51,2,18,26,0,0,0,0,5,0,0,0,0,0,0,0,17,0,0,0,5,0,0,0,13,6,76,20,3,17,0,0,57,25,0,121,0,16,83,3,7,2,0,46,0,0,0,0,0,0,63,29,10,11,1,59,5,63,0,0,4,0,0,0,0,0,8,12,0,0,0,0,0,91,4,67,9,37,26,0,0,16,11,0,20,6,11,0,20,0,5,0,0,100,19,60,0,0,12,0,0,0,0,1,0,29,220,0,0,0,10,23,0,0,0,0,12,2,0,0,0,0,0,1,265,0,0,15,0,2,0,59,0,0,0,64,21,0,0,14,0,0,0,8,3,0,5,0,0,3,22,56,2,16,0,0,0,0,3,0,11,22,0,33,0,4,0,8,0,0,0,10,0,0,0,0,0,7
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,17,0,0,0,0,0,8,0,0,0,17,0,10,14,24,1,8,0,36,0,2,0,0,4,34,0,12,2,6,39,10,1,22,10,21,0,0,0,21,0,174,4,72,0,0,17,2,8,0,3,0,0,2,17,0,30,0,0,14,0,0,0,0,2,0,5,13,0,28,0,0,0,8,3,22,244,0,0,33,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,26,9,10,0,0,0,3,0,0,3,4,0,0,0,89,25,0,0,14,7,23,0,36,14,16,0,0,91,0,0,0,0,0,3,0,4,1,0,29,620,3,4,0,0,0,7,110,4,4,0,4,1,0,5,0,0,7,0,0,0,0,0,4,0,0,0,0,105,6,2,2,0,24,0,3,0,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,17,51,7,14,0,0,0,0,0,17,0,0,0,3,5,4,2,0,0,0,0,0,12,490,2,0,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,18,0,2,0,0,15,0,41,0,9,11,0,0,30,5,5,0,0,0,0,6,0,18,0,154,2,0,2,0,54,30,6,126,14,8,5,5,0,0,35,0,402,26,0,8,48,3,49,0,0,6,0,96,80,0,56,7,0,15,3,0,0,6,11,0,4,10,2,35,12,0,5,10,0,0,53,0,17,11,12,9,0,13,0,6,12,0,0,1,6,16,0,36,39,7,0,0,52,0,72,12,17,71,0,27,7,0,34,6,0,0,0,88,0,28,194,0,0,0,0,13,0,39,19,7,0,0,0,17,13,0,0,0,3,0,0,4,55,12,0,5,9,0,13,11,0,0,7,0,3,0,0,0,8,0,7,5,38,0,0,18,0,29,2,6,0,0,0,0,0,8,37,6,0,0,38,4,0,92,13,18,27,0,4,0,0,0,0,0,0,19,0,0,130,0,10,0,4,0,0,0,0,11,0,3,0,21,0,0,0,0,4,0,23,14,0,0,0,0,8
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,19,0,0,4,0,13,16,21,3,0,0,5,9,0,0,0,0,0,139,0,9,0,16,8,0,0,4,1,0,39,14,0,0,10,0,4,0,1,60,0,5,7,5,2,0,57,0,0,8,3,0,1,0,12,3,3,3,0,6,0,0,0,4,3,10,0,0,56,0,0,0,0,0,0,0,0,2,3,3,5,3,0,0,0,0,4,0,0,0,2,0,6,36,0,6,6,27,32,0,24,8,0,29,0,0,0,2,0,0,0,67,15,10,0,2,0,0,599,6,18,8,0,19,42,0,0,2,0,0,0,1714,14,3,1,0,0,0,0,1,0,0,0,0,0,0,242,7,6,0,4,4,5,0,0,2,0,0,0,0,1,0,0,12,0,0,0,0,22,0,0,0,0,0,0,0,0,0,16,0,19,0,0,0,0,0,0,0,0,0,23,14,0,0,0,20,11,0,0,44,0,20,0,0,12,0,0,0,0,0,0,0,0,0,8,0,12,6553,0,2,0
0.22,5.87559486249557,0.596889807440266,30.0282286520819,29.6607520919448,28.3113217058171,1.34943038612764,1,20,0,0,6,4,13,0,53,0,0,73,3,17,18,0,0,58,0,127,0,0,0,17,9,1,3,4,0,0,38,22,194,26,11,21,3,4,0,54,40,97,0,523,0,0,0,4,101,46,0,0,0,276,11,6,0,4,0,8,0,6,5,0,0,0,0,12,22,0,9,0,8,10,0,0,0,0,0,32,11,0,4,14,2,4,32,14,0,0,0,16,0,0,36,0,11,432,0,5,0,17,0,0,0,0,3,3,0,0,26,45,0,0,25,291,43,0,44,8,21,17,37,30,0,9,1056,0,10,10,0,0,0,4,0,6,0,0,23,20,2,0,37,0,0,0,16,0,0,5,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,4,0,0,313,0,19,0,0,6,0,0,0,0,47,0,0,18,0,26,3,0,2,0,0,0,0,0,0,8,43,23,14,5,0,23,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,11
